Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,51.25817761632248,0
Alufer (Bel Air),9.269999999999996,51.90569443960432,0,0
Weipa,17.200000000000006,38.97419209157837,0,0
Gove,7.599999999999999,48.64977401661865,0,0
AMR,0.0,52.42769443960433,0,0
Gujarat & Maharashtra,0.0,41.64019443960432,0,0
West Kalimantan,0.0,51.359470502286165,0,0
Henan-Chine,10.000000000000009,55.43156647542251,0,0
Kuantan & Johor,0.0,43.332403209158834,0,0
Aurum Xinfa-Fiji,0.0,0,41.19995036796791,0
Dom. Rep.,0.0,45.09049971646795,0,0
Discovery Bay,0.0,61.94078496676672,0,0
Awaso,0.3000000000000066,0,64.64011860078621,0
CBG,10.499999999999996,55.83772773946175,0,0
AMC,10.0,61.170955334522546,0,0
GAC,3.0,53.54826228300703,0,0
Solomon Islands,1.5999999999999972,58.89857136672517,0,0
Metallica,0.0,30.399790412740646,0,0
Aurukun,0.0,34.83971696655889,0,0
Metro LT,0.0,42.53592225155518,0,0
MRN,0.0,54.95415059183168,0,0
Juruti,1.8000000000000016,56.35524656496802,0,0
Mirai,0.0,52.467534484377076,0,0
Metro BH1,0.0,41.72111384168322,0,0
Amrun,0.0,41.88472609168228,0,0
Rondon do Para,0.0,49.81814728079524,0,0
Huntly,7.000000000000003,42.007174305286064,0,0
Vietnam,1.000000000000001,58.91407171880765,0,0
SMB Malapouya-Boké,0.0,52.42769443960432,0,0
Rundi,0.0,52.42769443960433,0,0
Metro Blend,5.3999999999999915,36.131008666437566,0,0
Dabiss N,0.0,55.43156647542251,0,0
Amrun,10.879999999999995,41.88472609168228,0,0
Metro BH1 Xinfa,0.0,0,0,41.72111384168322
Dian Dian,3.0000000000000027,60.34856813094073,0,0
Dynamic,9.000000000000009,49.97785439483156,0,0
Other,0.500000000000001,49.984218432410444,0,0
GDM,2.0000000000000075,54.34082405930433,0,0
Ashapura Guinea,0.0,53.92963045751341,0,0
SMB Kaboye,0.0,49.423822403786104,0,0
SMB Dabiss S,0.0,52.42769443960433,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,53.92963045751341,0,0
Mokanji,0.0,55.010406520195254,0,0
SMB Santou-Houda,1.2040864726907257,55.43156647542251,0,0
SPIC,7.500000000000003,0,51.25817761632248,0
Henan-Chine,0.0,0,55.43156647542251,0
SMB Malapouya-Boké,0.0,0,52.42769443960432,0
AMR,0.0,0,52.42769443960433,0
GDM,0.0,0,54.34082405930433,0
Ashapura Guinea,0.0,0,53.92963045751341,0
SMB Kaboye,0.0,0,49.423822403786104,0
SMB Dabiss S,0.0,0,52.42769443960433,0
SMB Santou-Houda,34.552565541142684,0,55.43156647542251,0
