,initialisation,bar,x,line 1,line 2,line 3,line 4,line 5,line 6,line 7,line 8,line 9,line 10,labels for cc
0,0.0,0.0,0.0,0.0,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,0.0
1,bar 1 start,1,0.0,0.0,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,
2,bar 1 an,1,0.0,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,
3,bar 1 naming,1,0.5,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,Gove 8.6mln t $23.3
4,bar 1 bn,1,1.0,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,
5,bar 1 end,1,1.0,0.0,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,22.23696303,
6,bar 2 start,2,1.0,0.0,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,
7,bar 2 an,2,1.0,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,
8,bar 2 naming,2,5.3,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,0
9,bar 2 bn,2,9.6,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,
10,bar 2 end,2,9.6,0.0,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,23.25931928,
11,bar 3 start,3,9.6,0.0,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,
12,bar 3 an,3,9.6,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,
13,bar 3 naming,3,11.0,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,Weipa 4.2mln t $34.1
14,bar 3 bn,3,12.399999999999999,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,
15,bar 3 end,3,12.399999999999999,0.0,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,32.93129375,
16,bar 4 start,4,12.399999999999999,0.0,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,
17,bar 4 an,4,12.399999999999999,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,
18,bar 4 naming,4,14.499999999999998,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,Dian Dian 3.0mln t $34.4
19,bar 4 bn,4,16.599999999999998,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,
20,bar 4 end,4,16.599999999999998,0.0,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,34.06173177,
21,bar 5 start,5,16.599999999999998,0.0,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,
22,bar 5 an,5,16.599999999999998,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,34.36529686,
