Country,Regency,Technology Code, 1 - 2016, 1 - 2017, 1 - 2018, 1 - 2019, 1 - 2020, 10 - 2016, 10 - 2017, 10 - 2018, 10 - 2019, 11 - 2016, 11 - 2017, 11 - 2018, 11 - 2019, 12 - 2016, 12 - 2017, 12 - 2018, 12 - 2019, 2 - 2016, 2 - 2017, 2 - 2018, 2 - 2019, 2 - 2020, 3 - 2016, 3 - 2017, 3 - 2018, 3 - 2019, 3 - 2020, 4 - 2016, 4 - 2017, 4 - 2018, 4 - 2019, 4 - 2020, 5 - 2016, 5 - 2017, 5 - 2018, 5 - 2019, 6 - 2016, 6 - 2017, 6 - 2018, 6 - 2019, 7 - 2016, 7 - 2017, 7 - 2018, 7 - 2019, 8 - 2016, 8 - 2017, 8 - 2018, 8 - 2019, 9 - 2016, 9 - 2017, 9 - 2018, 9 - 2019
Guinea,Kaboye,LT,3.06,2.975,2.89,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,2.89,3.06,2.975,2.89,2.89,2.89,3.06,2.975,2.89,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89,3.06,2.975,2.89,2.89
Guinea,Malapouya,LT,3.06,2.9,2.74,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,2.74,3.06,2.9,2.74,2.74,2.74,3.06,2.9,2.74,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74,3.06,2.9,2.74,2.74
Guinea,GDM,LT,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67
Guinea,Henan-Chine,LT,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61
Guinea,AMR,LT,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74
Guinea,Ashapura Guinea,LT,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
Guinea,Bel Air,LT,2.69,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74,2.69,2.69,2.69,2.74
Guinea,Boffa,LT,,,,,2.83,,,,,,,,,,,,,,,,,2.83,,,,,2.83,,,,,2.83,,,,,,,,,,,,,,,,,,,,
Guinea,GAC,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,2.59,,,,,,,,,,,,,,,,,,,,
Guyana,Not available,LT,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
