bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic,Chalco,Chalco,H-B,Guangxi,Guangxi,Chalco Pingguo,0.95,1.0,1.0,1.8,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Domestic,Chalco,Chalco,H-B,Guizhou,Guizhou,Chalco Zunyi,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Domestic,Chalco,Chalco,H-B,Henan,Henan,Chalco Zhengzhou domestic,1.6,2.1,2.1,2.2,2.2,2.2,2.125,2.125,2.125,2.125,2.125,1.0,2.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Domestic,Chalco,Chalco,H-B,Shanxi,Shanxi,Chalco Huaxing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.75,1.85,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Domestic,Chalco,Chalco,H-B,Shanxi,Shanxi,Chalco Xinghua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.9,0.9,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Chalco,Chalco,"H-B (Lime), sinter",Shanxi,Shanxi,Chalco Shanxi,1.4,2.2,2.2,2.2,2.2,2.2,2.2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Domestic,Chalco,Chalco,H-B-ODT-Sweet,Henan,Henan,Chalco Zhongzhou Dom. Bayer,0.7,0.7,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.2,2.3,2.3,2.3,2.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Chalco,Chalco,Series & Sinter (95:25),Guizhou,Guizhou,Chalco Guizhou,0.95,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Chalco,Chalco,Sinter,Henan,Henan,Chalco Zhongzhou Dom. Sinter,0.87,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Domestic,Chalco,Chalco,Sintering,Other,Shandong,Chalco Shandong sinter,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domestic,Chalco,"Chalco, Guangxi Investment Group, Minmetal",H-B,Guangxi,Guangxi,Huayin,0.0,0.0,0.4,1.6,1.6,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Domestic,Chalco,"Chalco, Jinjiang",H-B,Guizhou,Guizhou,Huajin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Domestic,Chalco,Yunnan Aluminium Companuy,H-B,Other,Yunnan,YMG - Wenshan,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,1.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Domestic,East Hope,East Hope,H-B,Shanxi,Shanxi,East Hope Lingshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Domestic,East Hope,East Hope,"H-B, ODT",Henan,Henan,East Hope Mianchi,0.0,0.8,1.2,1.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Domestic,Jinjiang,Jinjiang,H-B,Guangxi,Guangxi,Jinjiang Longzhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Domestic,Jinjiang,Jinjiang,H-B,Guangxi,Guangxi,Jinjiang Tiandong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Domestic,Jinjiang,Jinjiang,H-B,Shanxi,Shanxi,Fusheng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Domestic,Jinjiang,Jinjiang,H-B,Shanxi,Shanxi,Xingan Chemical,0.0,0.0,0.0,1.0,1.0,1.0,1.7,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.65,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Domestic,Jinjiang,Jinjiang,"H-B, ODT, Sweetening",Henan,Henan,Kaiman,0.0,1.35,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.99,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Domestic,Jinjiang,"Jinjiang, Yima Coal Group","H-B, CGA",Henan,Henan,Yima Yixiang,0.05,0.15,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Domestic,Other,Aokaida,H-B,Shanxi,Shanxi,Aokaida,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Domestic,Other,BXG,H-B,Other,Inner Mongolia,Xinwang H-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
