Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,Gove,7.599999999999999,12.736079195247655,0,0
2,Weipa,17.200000000000006,13.62965847260832,0,0
3,Juruti,1.8000000000000016,14.777762262919024,0,0
4,Huntly,7.000000000000003,15.416719729934435,0,0
5,CBG,10.499999999999996,16.856257901913995,0,0
6,GAC,3.0,18.072811375681443,0,0
7,Metro Blend,5.3999999999999915,18.8164,0,0
8,Vietnam,1.000000000000001,18.984833781042823,0,0
9,Dian Dian,3.0000000000000027,19.531944351263935,0,0
10,Dynamic,9.000000000000009,19.708025024849867,0,0
11,Amrun,10.879999999999995,19.835153584814368,0,0
12,Chalco Boffa,34.8,0,19.96441575874098,0
13,Alufer (Bel Air),9.269999999999996,21.287679827312527,0,0
14,Other,0.500000000000001,23.58763152284969,0,0
15,Henan-Chine,10.000000000000009,25.36093904498995,0,0
16,Awaso,0.3000000000000066,0,25.61235609580842,0
17,AGB2A,9.000000000000018,25.66753038192639,0,0
18,Solomon Islands,1.5999999999999972,26.043784703525915,0,0
19,SMB Santou-Houda,1.2040864726907257,28.23030034594429,0,0
20,SMB Santou-Houda,34.552565541142684,0,28.23030034594429,0
21,GDM,2.0000000000000075,28.676234069835488,0,0
22,AMC,10.0,28.69450063543464,0,0
23,SPIC,7.500000000000003,0,30.991366891522002,0
24,AMR,0.0,30.436251306118212,0,0
25,Gujarat & Maharashtra,0.0,24.053376065710545,0,0
26,West Kalimantan,0.0,25.575441014088387,0,0
27,Kuantan & Johor,0.0,32.09,0,0
28,Aurum Xinfa-Fiji,0.0,0,20.13510315548442,0
29,Dom. Rep.,0.0,26.481140897124423,0,0
30,Discovery Bay,0.0,22.818817649112734,0,0
31,Metallica,0.0,23.27579695291623,0,0
32,Aurukun,0.0,22.08943038060054,0,0
33,Metro LT,0.0,18.8164,0,0
34,MRN,0.0,20.027799101691272,0,0
35,Mirai,0.0,34.52482372122173,0,0
36,Metro BH1,0.0,18.8164,0,0
37,Amrun,0.0,19.835153584814368,0,0
38,Rondon do Para,0.0,43.253061835228806,0,0
39,SMB Malapouya-Boké,0.0,27.005477085139688,0,0
40,Rundi,0.0,30.246290021748727,0,0
41,Dabiss N,0.0,0.0,0,0
42,Metro BH1 Xinfa,0.0,0,0,18.8164
43,Ashapura Guinea,0.0,35.00062905003689,0,0
44,SMB Kaboye,0.0,28.450367834460053,0,0
45,SMB Dabiss S,0.0,32.518149569388754,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,34.694724345184184,0,0
48,Henan-Chine,0.0,0,25.36093904498995,0
49,SMB Malapouya-Boké,0.0,0,27.005477085139688,0
50,AMR,0.0,0,30.436251306118212,0
51,GDM,0.0,0,28.676234069835488,0
52,Ashapura Guinea,0.0,0,35.00062905003689,0
53,SMB Kaboye,0.0,0,28.450367834460053,0
54,SMB Dabiss S,0.0,0,32.518149569388754,0
