Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,39.22870669903641,0
Alufer (Bel Air),9.269999999999996,43.133448865621425,0,0
Weipa,17.200000000000006,23.419805438003806,0,0
Gove,7.599999999999999,20.69672907711001,0,0
AMR,0.0,50.306150970893746,0,0
Gujarat & Maharashtra,0.0,39.80802801911244,0,0
West Kalimantan,0.0,37.119145010969284,0,0
Henan-Chine,10.000000000000009,45.60794518019971,0,0
Kuantan & Johor,0.0,43.84817300383657,0,0
Aurum Xinfa-Fiji,0.0,0,37.22308070569522,0
Dom. Rep.,0.0,54.51397331174054,0,0
Discovery Bay,0.0,59.590551899421186,0,0
Awaso,0.3000000000000066,0,59.3595943308993,0
CBG,10.499999999999996,45.49516562238833,0,0
AMC,10.0,51.68225641848478,0,0
GAC,3.0,42.65157479486789,0,0
Solomon Islands,1.5999999999999972,42.27232069755043,0,0
Metallica,0.0,35.82096491854693,0,0
Aurukun,0.0,36.58029992299669,0,0
Metro LT,0.0,27.54385036312257,0,0
MRN,0.0,49.233350401855404,0,0
Juruti,1.8000000000000016,45.92252837273373,0,0
Mirai,0.0,68.71285241671151,0,0
Metro BH1,0.0,27.54385036312257,0,0
Amrun,0.0,38.00116953912287,0,0
Rondon do Para,0.0,76.00240138957328,0,0
Huntly,7.000000000000003,32.065526523250405,0,0
Vietnam,1.000000000000001,28.940780376179518,0,0
SMB Malapouya-Boké,0.0,46.87537674991522,0,0
Rundi,0.0,50.8436530162217,0,0
Metro Blend,5.3999999999999915,27.54385036312257,0,0
Dabiss N,0.0,0.0,0,0
Amrun,10.879999999999995,38.00116953912287,0,0
Metro BH1 Xinfa,0.0,0,0,27.54385036312257
Dian Dian,3.0000000000000027,41.750553066629955,0,0
Dynamic,9.000000000000009,40.433696750774494,0,0
Other,0.500000000000001,42.97777034300952,0,0
GDM,2.0000000000000075,49.36333292758928,0,0
Ashapura Guinea,0.0,55.3051870141657,0,0
SMB Kaboye,0.0,48.320267499235584,0,0
SMB Dabiss S,0.0,52.38804923416428,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,46.862443242887565,0,0
Mokanji,0.0,60.422351210400564,0,0
SMB Santou-Houda,1.2040864726907257,51.11705177419361,0,0
SPIC,7.500000000000003,0,51.926837707825975,0
Henan-Chine,0.0,0,45.60794518019971,0
SMB Malapouya-Boké,0.0,0,46.87537674991522,0
AMR,0.0,0,50.306150970893746,0
GDM,0.0,0,49.36333292758928,0
Ashapura Guinea,0.0,0,55.3051870141657,0
SMB Kaboye,0.0,0,48.320267499235584,0
SMB Dabiss S,0.0,0,52.38804923416428,0
SMB Santou-Houda,34.552565541142684,0,51.11705177419361,0
